"","logFC","gene_id","direction"
"TM6SF1",2.62642909349821,"TM6SF1","up"
"CDH5",-2.62327276543116,"CDH5","down"
"MAP1A",-2.62312841220208,"MAP1A","down"
"ENSG00000225087",2.61683241704209,"ENSG00000225087","up"
"ENSG00000310388",2.61683241704209,"ENSG00000310388","up"
"BMP4",2.61683241704209,"BMP4","up"
"DLX3",2.61683241704209,"DLX3","up"
"ENSG00000253730",2.61683241704209,"ENSG00000253730","up"
"GH2",2.61683241704209,"GH2","up"
"LINC02582",2.61683241704209,"LINC02582","up"
"ENSG00000267219",2.61683241704209,"ENSG00000267219","up"
"MAGEA4",2.61683241704209,"MAGEA4","up"
"UBE2QL1",2.61512356870385,"UBE2QL1","up"
"ENSG00000306228",2.60347403418707,"ENSG00000306228","up"
"SNORD117",2.60347403418707,"SNORD117","up"
"ENSG00000235119",2.60347403418707,"ENSG00000235119","up"
"ENSG00000278875",2.60347403418707,"ENSG00000278875","up"
"TSC22D3",2.60055359788436,"TSC22D3","up"
"TLE2",2.59469492976854,"TLE2","up"
"NUPR1",2.59122177336306,"NUPR1","up"
"LINC02334",-2.59016119055218,"LINC02334","down"
"CPMER",2.58848485996762,"CPMER","up"
"MAP4K1-AS1",2.58790523157859,"MAP4K1-AS1","up"
"ENSG00000282418",-2.5842786338153,"ENSG00000282418","down"
"ANXA3",2.57819156339086,"ANXA3","up"
"SKAP2",2.57819156339086,"SKAP2","up"
"FGF4",2.57537942850918,"FGF4","up"
"PCDHGB4",2.57373895355065,"PCDHGB4","up"
"RP9P",-2.57343125157831,"RP9P","down"
"ENSG00000270127",-2.57343125157831,"ENSG00000270127","down"
"ENSG00000285918",-2.5656328810179,"ENSG00000285918","down"
"IL20RB",2.56036670297826,"IL20RB","up"
"RDH16",2.55803106342591,"RDH16","up"
"GBP1P1",2.55681565051418,"GBP1P1","up"
"OLIG3",-2.55469468899672,"OLIG3","down"
"SLC6A20",2.54750039593374,"SLC6A20","up"
"ENSG00000301773",2.54750039593374,"ENSG00000301773","up"
"ENSG00000226239",2.54750039593374,"ENSG00000226239","up"
"ENSG00000225889",2.5439447686481,"ENSG00000225889","up"
"HOGA1",-2.54381477081221,"HOGA1","down"
"TAS2R31",2.54255965466347,"TAS2R31","up"
"MYOCD",2.54255965466347,"MYOCD","up"
"ENSG00000280069",2.54255965466347,"ENSG00000280069","up"
"CD300A",2.54255965466347,"CD300A","up"
"ENSG00000278703",2.54255965466347,"ENSG00000278703","up"
"SLC7A11",2.54200684498494,"SLC7A11","up"
"PKP3",2.53836577077728,"PKP3","up"
"ENSG00000301478",-2.53667270156819,"ENSG00000301478","down"
"ENSG00000308628",2.53476128410306,"ENSG00000308628","up"
"ENSG00000295032",2.53476128410306,"ENSG00000295032","up"
"NXPH2",-2.53440074040433,"NXPH2","down"
"TRIB3",2.52777503765562,"TRIB3","up"
"OXCT2",2.52061710178279,"OXCT2","up"
