""	logFC	AveExpr	t	P.Value	adj.P.Val	B
FAM13A	-5.01747420368143	5.02780617527217	-19.418054546896	1.1643970351885e-06	6.16142334246792e-06	6.35948584727323
SLC36A1	-4.54478347294528	4.18576731211795	-19.4177235343787	1.16451493048085e-06	6.16142334246792e-06	6.26814394453357
CCZ1	-5.56150406123985	5.55996135438895	-19.4163695031936	1.16499733455061e-06	6.16267063442989e-06	6.39443789863409
NAA35	-5.75243995885051	5.76233016063072	-19.4115290472706	1.16672375857321e-06	6.16934802449346e-06	6.40341274909239
EIPR1	-4.86177103845675	5.00811520550539	-19.4114457360559	1.16675349886854e-06	6.16934802449346e-06	6.35613164903311
SHLD2	-4.98672143560484	5.47160617150458	-19.4052473237973	1.16896867414587e-06	6.17975314322059e-06	6.3863977585389
RHBDD1	-5.64642687917202	5.23410067315287	-19.4044250461285	1.16926290552784e-06	6.18000093753068e-06	6.37115304489563
PBK	-5.22618490883662	4.16116228597518	-19.3963199007065	1.1721677442923e-06	6.19404376552428e-06	6.25933840047007
SLCO3A1	-4.596844112797	4.42990476793471	-19.3955685212008	1.1724374596134e-06	6.19415891118229e-06	6.29426204543906
CACNG4	-5.0597927484168	3.90318508751116	-19.3914551093603	1.17391529124528e-06	6.2006553142647e-06	6.21915173683128
RIT1	-5.1699187588797	4.67455100675136	-19.3901271136415	1.17439286507828e-06	6.20186669649458e-06	6.32010506722781
BIRC5	-7.28024930529773	7.42127586462833	-19.3855575419177	1.17603790290303e-06	6.20924153975685e-06	6.44535128307761
PPP2R2B	-5.82264608302676	5.90321512554641	-19.3818917120394	1.17735953396528e-06	6.21490610534305e-06	6.40156182703391
TMEM51	-4.71988992347542	3.94959843882539	-19.3770440228783	1.17910991238787e-06	6.22283102051088e-06	6.22298029856582
JAKMIP2-AS1	-4.76770152127066	4.77491364299079	-19.3760050342954	1.1794854589661e-06	6.22349835413074e-06	6.32622299352818
CCNYL1	-5.86733287127017	5.82562778222066	-19.3728897537644	1.18061232423664e-06	6.22812886586324e-06	6.39564884510335
EIF4EP2	-5.55260732849391	6.01043586818085	-19.3720942402353	1.18090027970341e-06	6.22833282417352e-06	6.40324441949119
AUTS2	-6.43097763177696	6.27834044547887	-19.3689258070059	1.18204798249543e-06	6.2327508432999e-06	6.41215573670744
CUTA	-6.61979690049159	6.86679043785513	-19.3684046616681	1.18223688146006e-06	6.2327508432999e-06	6.42874128210085
CTDSPL2	-6.85475410435185	6.59175554118705	-19.3669591379965	1.18276102268717e-06	6.23419860565744e-06	6.42118264765566
PDIA5	-4.63311830395334	4.86901471484196	-19.3618765792064	1.1846060868344e-06	6.24260672294253e-06	6.33119696477147
SMYD3	-4.99153865359001	4.55075606695283	-19.3556854506048	1.18685810945375e-06	6.25315542104439e-06	6.29793793354922
ORMDL1	-5.83369228391612	5.20777294208062	-19.3543619455438	1.18734018048486e-06	6.25437635868307e-06	6.3558452158482
KDM6B	-5.66908820165589	4.66219274988257	-19.3521792924661	1.18813568383716e-06	6.25724745467696e-06	6.30891980512954
NQO2	-5.76697396081398	5.60006656061634	-19.3514482106637	1.18840227712613e-06	6.25733245347086e-06	6.37882452522711
DDB2	-5.45842947193899	5.32023746351003	-19.3429093198848	1.1915211943222e-06	6.27243268414365e-06	6.36022094746096
PARPBP	-5.5318605217628	5.55839003069045	-19.335067284951	1.19439397190075e-06	6.28623109205149e-06	6.37211491904915
PFDN2	-6.62934811776889	5.37647457581458	-19.3333606425438	1.19502023476429e-06	6.28820251587005e-06	6.36118799140286
TXNIP	-9.62912814665042	6.82372867807652	-19.3275983371778	1.19713757303418e-06	6.29801750361886e-06	6.41604672942102
TASOR	-6.51970583783752	6.29345182231533	-19.3265913138867	1.19750804808474e-06	6.29864022596823e-06	6.4007579030506
KLHL42	-4.88337232689141	4.62956705777912	-19.3231953474088	1.19875837839828e-06	6.30388956554466e-06	6.29796023581407
ZFAND1	-5.18170830462903	5.0660068939853	-19.3158755785876	1.20145854813332e-06	6.31675933639792e-06	6.33517305114728
LRRN1	-7.6112348931209	7.77371932847856	-19.3043001858004	1.20574302361079e-06	6.33795154678982e-06	6.42755630021702
BABAM1	-4.45262080858933	4.70064568594748	-19.3035440102023	1.20602352994701e-06	6.33809252675559e-06	6.30003365533591
SRBD1	-5.4353848542328	5.48784606842354	-19.3017147543634	1.2067024137689e-06	6.34032662578385e-06	6.35905768030435
FBXO11	-7.00504808807557	6.20452178044196	-19.3000018070193	1.20733853575203e-06	6.34122970040189e-06	6.39025834640919
SEPTIN9	-8.01877434942279	8.9823503176992	-19.2998850423376	1.20738191181603e-06	6.34122970040189e-06	6.43906312412253
STK38	-4.4451250032446	4.73054036204339	-19.2967068721185	1.20856324394244e-06	6.34610006024757e-06	6.30111121900479
HEBP1	-5.05957504223209	5.32266214860403	-19.2959276591681	1.20885308421314e-06	6.34628818154676e-06	6.34760769238719
CYTH2	-5.51473192323342	5.38726229562704	-19.2931762757773	1.20987715095492e-06	6.35032998728105e-06	6.3508955370815
IGF2BP3	-8.52862647237949	8.32976423086334	-19.2905346368969	1.2108613207878e-06	6.35416073063693e-06	6.43056036149705
SNAPIN	-6.21762348203291	5.08361362960793	-19.2886699155751	1.21155660290859e-06	6.35647420560021e-06	6.32916700281687
COG7	-4.4843437658241	4.118596215926	-19.286433485686	1.21239109353922e-06	6.35951691811547e-06	6.22561879074584
MTR	-6.56505180438177	5.69807004050884	-19.2844848604559	1.21311873946932e-06	6.3599776478108e-06	6.3652614095776
CTTNBP2NL	-5.77645784818624	5.53841084799929	-19.2835684054995	1.21346113322121e-06	6.3599776478108e-06	6.35688671595182
PLD3	-8.74774197498472	8.40200552238197	-19.2835262421373	1.21347688844341e-06	6.3599776478108e-06	6.42924137629751
DUSP12	-5.29985992057756	4.84840332351339	-19.2834719502931	1.21349717607725e-06	6.3599776478108e-06	6.30856306661051
MMS19	-6.46057492587144	7.19298997730139	-19.2805873340924	1.21457565971901e-06	6.36429494178265e-06	6.41066550380637
PIEZO2	-5.11774398191386	4.85797251818734	-19.279831109068	1.21485857727159e-06	6.36444258640247e-06	6.30845218542002
ARHGAP42	-5.79483945218115	5.51278517623406	-19.2775321029986	1.21571914839306e-06	6.36761576592287e-06	6.35381492998337
TOPORS	-6.00796026946665	5.98804323658134	-19.2764928355056	1.21610840305513e-06	6.36831950155718e-06	6.37568298409078
SEMA4A	-4.48208368922286	4.27531330498982	-19.2731353728814	1.21736692256777e-06	6.37357401371189e-06	6.24356242066362
AAK1	-5.62005679561868	4.70962792959206	-19.2719933252067	1.21779535592232e-06	6.37448128480268e-06	6.29259260509419
DNAJC16	-4.51176411817347	4.68022960340006	-19.2667271003896	1.21977322471105e-06	6.38309490462064e-06	6.28833188651296
CCDC50	-6.78699513287778	5.84416688593458	-19.2656411174372	1.22018155886283e-06	6.38309490462064e-06	6.36669445888327
SLC25A14	-5.10299223809615	3.90823218706912	-19.2655724503996	1.22020738330404e-06	6.38309490462064e-06	6.18883662089311
UCKL1	-4.86217008138607	4.46910402720417	-19.2635953281343	1.22095121640099e-06	6.38384983689287e-06	6.26484297196224
DHX57	-5.80251249738054	5.73788580950616	-19.2634801578779	1.22099456202556e-06	6.38384983689287e-06	6.36133735838838
EIF1AD	-5.57605714285478	5.10490823744401	-19.2629127173114	1.22120815082923e-06	6.38384983689287e-06	6.3237836262571
LRIF1	-6.47241287006389	5.23478636182015	-19.2624728022232	1.22137376802545e-06	6.38384983689287e-06	6.33281651995676
FZD5	-4.51627858326098	5.72092178657541	-19.2616296460733	1.2216912686117e-06	6.3841737408481e-06	6.36002369750528
FBXW8	-5.8154660755782	5.40714251051539	-19.2573849630517	1.22329111464924e-06	6.39051955386653e-06	6.34229917206054
